state,county,tract,puma
24,1,100,101
24,1,200,101
24,1,500,101
24,1,600,101
24,1,700,101
24,1,800,101
24,1,1000,101
24,1,1100,101
24,1,1200,101
24,1,1300,101
24,1,1401,101
24,1,1402,101
24,1,1502,101
24,1,1503,101
24,1,1600,101
24,1,1700,101
24,1,1800,101
24,1,1900,101
24,1,2000,101
24,1,2100,101
24,1,2200,101
24,1,2300,101
24,3,701101,1205
24,3,701103,1205
24,3,701104,1205
24,3,701201,1205
24,3,701202,1205
24,3,701301,1205
24,3,701302,1205
24,3,701400,1205
24,3,702100,1204
24,3,702204,1204
24,3,702205,1204
24,3,702206,1204
24,3,702208,1204
24,3,702209,1204
24,3,702300,1205
24,3,702402,1204
24,3,702500,1205
24,3,702601,1205
24,3,702602,1205
24,3,702702,1204
24,3,702703,1205
24,3,702704,1205
24,3,706102,1205
24,3,706103,1205
24,3,706302,1205
24,3,706303,1205
24,3,706304,1205
24,3,706402,1205
24,3,706403,1205
24,3,706404,1205
24,3,706500,1205
24,3,706600,1205
24,3,706700,1205
24,3,707001,1205
24,3,707002,1205
24,3,708001,1205
24,3,708004,1205
24,3,730101,1202
24,3,730102,1202
24,3,730204,1202
24,3,730205,1202
24,3,730206,1202
24,3,730300,1202
24,3,730401,1202
24,3,730403,1202
24,3,730404,1202
24,3,730507,1204
24,3,730508,1204
24,3,730509,1204
24,3,730510,1204
24,3,730511,1204
24,3,730512,1204
24,3,730513,1204
24,3,730514,1204
24,3,730601,1204
24,3,730603,1203
24,3,730605,1203
24,3,730606,1203
24,3,730701,1203
24,3,730702,1203
24,3,730800,1203
24,3,730901,1203
24,3,730902,1203
24,3,731002,1203
24,3,731003,1203
24,3,731004,1203
24,3,731103,1203
24,3,731104,1203
24,3,731105,1203
24,3,731106,1203
24,3,731107,1203
24,3,731201,1203
24,3,731205,1203
24,3,731206,1203
24,3,731207,1203
24,3,731208,1203
24,3,731209,1203
24,3,731210,1203
24,3,731303,1203
24,3,731306,1203
24,3,731307,1203
24,3,731308,1202
24,3,731309,1202
24,3,731310,1202
24,3,731312,1202
24,3,731313,1202
24,3,740103,1201
24,3,740104,1201
24,3,740105,1201
24,3,740106,1201
24,3,740107,1201
24,3,740108,1201
24,3,740203,1204
24,3,740204,1204
24,3,740205,1204
24,3,740303,1204
24,3,740304,1201
24,3,740305,1201
24,3,740400,1201
24,3,740501,1201
24,3,740502,1201
24,3,740601,1201
24,3,740602,1201
24,3,740603,1201
24,3,740701,1201
24,3,740703,1201
24,3,740704,1201
24,3,740800,1204
24,3,740900,1201
24,3,741000,1204
24,3,750101,1202
24,3,750102,1202
24,3,750201,1202
24,3,750204,1202
24,3,750300,1202
24,3,750400,1202
24,3,750801,1202
24,3,750803,1202
24,3,750804,1202
24,3,750900,1202
24,3,751000,1202
24,3,751102,1202
24,3,751103,1202
24,3,751200,1201
24,3,751400,1201
24,3,751500,1201
24,3,751600,1204
24,3,751700,1204
24,3,980000,1201
24,3,990000,1205
24,5,400100,507
24,5,400200,507
24,5,400400,507
24,5,400500,507
24,5,400600,507
24,5,400701,507
24,5,400702,507
24,5,400800,507
24,5,400900,507
24,5,401000,507
24,5,401101,507
24,5,401102,507
24,5,401200,507
24,5,401301,507
24,5,401302,507
24,5,401400,507
24,5,401503,507
24,5,401504,507
24,5,401505,507
24,5,401506,507
24,5,401507,507
24,5,402201,501
24,5,402202,501
24,5,402302,502
24,5,402303,502
24,5,402304,502
24,5,402305,502
24,5,402306,502
24,5,402307,502
24,5,402403,502
24,5,402404,502
24,5,402405,502
24,5,402407,502
24,5,402408,502
24,5,402409,502
24,5,402503,501
24,5,402504,501
24,5,402505,502
24,5,402506,502
24,5,402510,502
24,5,402511,502
24,5,402602,502
24,5,402603,502
24,5,402604,502
24,5,403100,502
24,5,403201,502
24,5,403202,502
24,5,403300,502
24,5,403401,503
24,5,403402,503
24,5,403500,503
24,5,403601,503
24,5,403602,503
24,5,403702,502
24,5,403703,501
24,5,403704,501
24,5,403801,501
24,5,403802,501
24,5,403803,503
24,5,404101,502
24,5,404102,502
24,5,404201,502
24,5,404202,502
24,5,404402,502
24,5,404403,502
24,5,404404,502
24,5,404501,502
24,5,404502,502
24,5,404600,501
24,5,404800,501
24,5,404900,501
24,5,405000,501
24,5,406000,501
24,5,407001,501
24,5,407002,501
24,5,408100,501
24,5,408200,501
24,5,408302,501
24,5,408303,501
24,5,408304,501
24,5,408400,503
24,5,408502,501
24,5,408503,503
24,5,408505,503
24,5,408506,503
24,5,408507,503
24,5,408601,503
24,5,408602,503
24,5,408702,503
24,5,408703,503
24,5,408704,503
24,5,408800,503
24,5,408900,503
24,5,410100,501
24,5,410200,501
24,5,411101,501
24,5,411102,501
24,5,411201,501
24,5,411202,501
24,5,411302,505
24,5,411303,505
24,5,411306,505
24,5,411307,505
24,5,411308,505
24,5,411309,505
24,5,411404,504
24,5,411406,504
24,5,411408,504
24,5,411409,504
24,5,411410,504
24,5,411411,504
24,5,411412,504
24,5,411413,504
24,5,420100,506
24,5,420200,506
24,5,420301,506
24,5,420302,506
24,5,420303,506
24,5,420401,506
24,5,420402,506
24,5,420500,506
24,5,420600,506
24,5,420701,506
24,5,420702,506
24,5,420800,506
24,5,420900,506
24,5,421000,506
24,5,421101,506
24,5,421102,506
24,5,421200,506
24,5,430101,507
24,5,430104,507
24,5,430200,507
24,5,430300,507
24,5,430400,507
24,5,430600,507
24,5,430700,507
24,5,430800,507
24,5,430900,507
24,5,440100,504
24,5,440200,504
24,5,440300,504
24,5,440400,505
24,5,440500,505
24,5,440600,505
24,5,440701,505
24,5,440702,505
24,5,440800,505
24,5,440900,505
24,5,441000,505
24,5,441101,505
24,5,441102,505
24,5,450100,505
24,5,450200,506
24,5,450300,506
24,5,450400,506
24,5,450501,506
24,5,450503,506
24,5,450504,506
24,5,450800,506
24,5,450900,506
24,5,451000,506
24,5,451100,506
24,5,451200,505
24,5,451300,505
24,5,451401,505
24,5,451402,505
24,5,451500,506
24,5,451600,506
24,5,451701,505
24,5,451702,505
24,5,451801,506
24,5,451802,506
24,5,451803,506
24,5,451900,506
24,5,452000,506
24,5,452100,506
24,5,452300,506
24,5,452400,506
24,5,452500,506
24,5,490100,501
24,5,490200,503
24,5,490302,504
24,5,490303,503
24,5,490304,503
24,5,490400,503
24,5,490500,503
24,5,490601,503
24,5,490602,503
24,5,490603,503
24,5,490605,503
24,5,490701,503
24,5,490703,503
24,5,490800,504
24,5,490900,504
24,5,491000,504
24,5,491100,504
24,5,491201,504
24,5,491202,504
24,5,491300,504
24,5,491401,504
24,5,491402,504
24,5,491500,504
24,5,491600,504
24,5,491701,504
24,5,491900,504
24,5,492001,504
24,5,492002,504
24,5,492101,504
24,5,492102,504
24,5,492200,504
24,5,492300,506
24,5,492401,502
24,5,492402,502
24,5,492500,507
24,5,492600,504
24,5,492700,506
24,5,980100,507
24,5,980200,507
24,9,860103,1501
24,9,860200,1501
24,9,860300,1501
24,9,860402,1501
24,9,860403,1501
24,9,860404,1501
24,9,860501,1501
24,9,860502,1501
24,9,860600,1501
24,9,860701,1501
24,9,860702,1501
24,9,860703,1501
24,9,860801,1501
24,9,860901,1501
24,9,860902,1501
24,9,861003,1501
24,9,861004,1501
24,9,861100,1501
24,9,990100,1501
24,11,955000,1300
24,11,955100,1300
24,11,955201,1300
24,11,955202,1300
24,11,955301,1300
24,11,955302,1300
24,11,955400,1300
24,11,955500,1300
24,11,955600,1300
24,13,501001,400
24,13,501002,400
24,13,502000,400
24,13,503000,400
24,13,504100,400
24,13,504201,400
24,13,504202,400
24,13,505101,400
24,13,505102,400
24,13,505203,400
24,13,505205,400
24,13,505206,400
24,13,505207,400
24,13,505208,400
24,13,506101,400
24,13,506102,400
24,13,506200,400
24,13,507500,400
24,13,507601,400
24,13,507602,400
24,13,507702,400
24,13,507703,400
24,13,507704,400
24,13,507801,400
24,13,507802,400
24,13,508103,400
24,13,508200,400
24,13,509001,400
24,13,509002,400
24,13,510000,400
24,13,511000,400
24,13,512000,400
24,13,513001,400
24,13,513002,400
24,13,514100,400
24,13,514201,400
24,13,514202,400
24,15,30100,700
24,15,30200,700
24,15,30400,700
24,15,30501,700
24,15,30503,700
24,15,30505,700
24,15,30507,700
24,15,30508,700
24,15,30601,700
24,15,30602,700
24,15,30700,700
24,15,30903,700
24,15,30904,700
24,15,30905,700
24,15,30907,700
24,15,30908,700
24,15,31201,700
24,15,31202,700
24,15,31301,700
24,15,31302,700
24,15,31400,700
24,17,850101,1700
24,17,850102,1700
24,17,850201,1700
24,17,850202,1700
24,17,850300,1700
24,17,850400,1700
24,17,850500,1700
24,17,850600,1700
24,17,850706,1700
24,17,850708,1700
24,17,850709,1700
24,17,850710,1700
24,17,850711,1700
24,17,850712,1700
24,17,850713,1700
24,17,850801,1700
24,17,850802,1700
24,17,850901,1700
24,17,850902,1700
24,17,850904,1700
24,17,850905,1700
24,17,850906,1700
24,17,851001,1700
24,17,851003,1700
24,17,851004,1700
24,17,851100,1700
24,17,851200,1700
24,17,851301,1700
24,17,851302,1700
24,17,851401,1700
24,17,851402,1700
24,17,851403,1700
24,17,851501,1700
24,17,851502,1700
24,17,990000,1700
24,19,970100,1300
24,19,970200,1300
24,19,970300,1300
24,19,970400,1300
24,19,970500,1300
24,19,970600,1300
24,19,970702,1300
24,19,970804,1300
24,19,970900,1300
24,19,990000,1300
24,21,740200,302
24,21,750100,301
24,21,750200,301
24,21,750300,301
24,21,750504,301
24,21,750505,301
24,21,750506,301
24,21,750507,301
24,21,750508,301
24,21,750600,301
24,21,750701,301
24,21,750702,301
24,21,750801,301
24,21,750802,301
24,21,750804,301
24,21,750805,301
24,21,751001,301
24,21,751002,301
24,21,751003,301
